Science,What is the basic unit of a chemical element,Atom,100
Science,What is the powerhouse of the cell,Mitochondria,200
Science,The name for a prediction of the outcome for a scientific experiment,Hypothesis,300
Science,Which geometric shape has 12 flat faces,Dodecahedron,400
Science,This person's contribution to science includes discovering the law of fluid displacement,Archimedes,500
Science,What is the name of a star that is in the process of exploding,Supernova,600
Science,These organelles help cells with the synthesis of proteins,Ribosomes,700
Science,What is the chemical reaction in which the oxidation states of atoms are changed,Redox,800
Science,Which element is named after the greek word for green,Chlorine,900
Science,This number measures the number of atoms or molecules in one mole of a substance,Avogadro,1000
Science,In an electrical circuit _______ is the product of voltage and current,Power,1100
Science,Two vectors are considerd to be _______ or perpendicular if the angle between them is 90 degrees,orthogonal,1200
Science,Bell Labs invented this electrical component in 1984 and ushered in a new era of household electronics,Transistor,1300
Science,______ mechanics is the study of matter and energy at the most fundamental level,Quantum,1400
Science,Name the only planet in our solar system that spins clockwise,Venus,1500
Science,Mars has two moons named Phobos and _______,Deimos,1600
Science,Who invented the refracting telescope,Lippershey,1700
Science,What was the first organ to be successfully transplanted,Kidney,1800
Science,Which ore is the main source of aluminum,Bauxite,1900
Science,The ______ lobe is the section of the brain that deals with comprehending languages,Parietal,2000
